Time,ObjectID,Callsign,Coalition,Country,Type,X,Y,Z,Roll,Pitch,Yaw,Speed_X,Speed_Y,Speed_Z
0.0,0,,,,,0.09,-0.41,-0.17,0,0,0,0.0696,0.1164,-0.1323
0.0,0001,SpaceObject_1,0,0,SpaceObject,0.09,-0.41,-0.17,0,0,0,0.0696,0.1164,-0.1323
0.0,0,,,,,-0.04,0.03,0.05,0,0,0,-0.0341,0.1286,-0.0837
0.0,0001,SpaceObject_1,0,0,SpaceObject,-0.04,0.03,0.05,0,0,0,-0.0341,0.1286,-0.0837
0.0,0002,SpaceObject_2,0,0,SpaceObject,-0.04,0.03,0.05,0,0,0,-0.0341,0.1286,-0.0837
0.0,0,,,,,0.09,0.32,-0.14,0,0,0,0.0881,-0.0940,0.1275
0.0,0001,SpaceObject_1,0,0,SpaceObject,0.09,0.32,-0.14,0,0,0,0.0881,-0.0940,0.1275
0.0,0002,SpaceObject_2,0,0,SpaceObject,0.09,0.32,-0.14,0,0,0,0.0881,-0.0940,0.1275
0.0,0003,SpaceObject_3,0,0,SpaceObject,0.09,0.32,-0.14,0,0,0,0.0881,-0.0940,0.1275
0.0,0,,,,,-0.20,-0.05,0.30,0,0,0,-0.0277,0.1509,-0.0012
0.0,0001,SpaceObject_1,0,0,SpaceObject,-0.20,-0.05,0.30,0,0,0,-0.0277,0.1509,-0.0012
0.0,0002,SpaceObject_2,0,0,SpaceObject,-0.20,-0.05,0.30,0,0,0,-0.0277,0.1509,-0.0012
0.0,0003,SpaceObject_3,0,0,SpaceObject,-0.20,-0.05,0.30,0,0,0,-0.0277,0.1509,-0.0012
0.0,0004,SpaceObject_4,0,0,SpaceObject,-0.20,-0.05,0.30,0,0,0,-0.0277,0.1509,-0.0012
0.0,0,,,,,0.34,0.44,-0.06,0,0,0,-0.1861,0.1364,0.1439
0.0,0001,SpaceObject_1,0,0,SpaceObject,0.34,0.44,-0.06,0,0,0,-0.1861,0.1364,0.1439
0.0,0002,SpaceObject_2,0,0,SpaceObject,0.34,0.44,-0.06,0,0,0,-0.1861,0.1364,0.1439
0.0,0003,SpaceObject_3,0,0,SpaceObject,0.34,0.44,-0.06,0,0,0,-0.1861,0.1364,0.1439
