Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.00,-116.68408151,32.72695273,274.00,0.00000,0.00000,0.00000
0.00,-116.68408151,32.72695273,274.00,0.00000,0.00000,0.00000
0.00,-116.68867315,32.72677306,104.00,0.00000,0.00000,0.00000
0.00,-116.68867315,32.72677306,104.00,0.00000,0.00000,0.00000
0.00,-116.68867315,32.72677306,104.00,0.00000,0.00000,0.00000
0.00,-116.67991699,32.72856969,124.00,0.00000,0.00000,0.00000
0.00,-116.67991699,32.72856969,124.00,0.00000,0.00000,0.00000
0.00,-116.67991699,32.72856969,124.00,0.00000,0.00000,0.00000
0.00,-116.67991699,32.72856969,124.00,0.00000,0.00000,0.00000
0.00,-116.68312046,32.72883918,-306.00,0.00000,0.00000,0.00000
0.00,-116.68312046,32.72883918,-306.00,0.00000,0.00000,0.00000
0.00,-116.68312046,32.72883918,-306.00,0.00000,0.00000,0.00000
0.00,-116.68312046,32.72883918,-306.00,0.00000,0.00000,0.00000
0.00,-116.68312046,32.72883918,-306.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.00,-116.68141195,32.72650357,384.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68429507,32.72695273,284.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68888671,32.72668323,114.00,0.00000,0.00000,0.00000
0.10,-116.68013056,32.72856969,124.00,0.00000,0.00000,0.00000
0.10,-116.68013056,32.72856969,124.00,0.00000,0.00000,0.00000
0.10,-116.68013056,32.72856969,124.00,0.00000,0.00000,0.00000
0.10,-116.68013056,32.72856969,124.00,0.00000,0.00000,0.00000
