Time,ObjectID,Callsign,Coalition,Country,Type,X,Y,Z,Roll,Pitch,Yaw,Speed_X,Speed_Y,Speed_Z
0.0,0,,,,,0.01,-0.05,-0.01,0,0,0,0.0764,0.0939,0.0544
0.0,0001,SpaceObject_1,0,0,SpaceObject,0.01,-0.05,-0.01,0,0,0,0.0764,0.0939,0.0544
0.1,0,,,,,0.02,-0.04,-0.00,0,0,0,0.0764,0.0939,0.0544
0.1,0001,SpaceObject_1,0,0,SpaceObject,0.02,-0.04,-0.00,0,0,0,0.0764,0.0939,0.0544
0.2,0,,,,,0.03,-0.03,0.00,0,0,0,0.0764,0.0939,0.0544
0.2,0001,SpaceObject_1,0,0,SpaceObject,0.03,-0.03,0.00,0,0,0,0.0764,0.0939,0.0544
0.3,0,,,,,0.04,-0.02,0.01,0,0,0,0.0764,0.0939,0.0544
0.3,0001,SpaceObject_1,0,0,SpaceObject,0.04,-0.02,0.01,0,0,0,0.0764,0.0939,0.0544
0.4,0,,,,,0.04,-0.01,0.01,0,0,0,0.0764,0.0939,0.0544
0.4,0001,SpaceObject_1,0,0,SpaceObject,0.04,-0.01,0.01,0,0,0,0.0764,0.0939,0.0544
0.5,0,,,,,0.05,0.00,0.02,0,0,0,0.0764,0.0939,0.0544
0.5,0001,SpaceObject_1,0,0,SpaceObject,0.05,0.00,0.02,0,0,0,0.0764,0.0939,0.0544
0.6,0,,,,,0.06,0.01,0.02,0,0,0,0.0764,0.0939,0.0544
0.6,0001,SpaceObject_1,0,0,SpaceObject,0.06,0.01,0.02,0,0,0,0.0764,0.0939,0.0544
0.7,0,,,,,0.07,0.02,0.03,0,0,0,0.0764,0.0939,0.0544
0.7,0001,SpaceObject_1,0,0,SpaceObject,0.07,0.02,0.03,0,0,0,0.0764,0.0939,0.0544
0.8,0,,,,,0.08,0.03,0.03,0,0,0,0.0764,0.0939,0.0544
0.8,0001,SpaceObject_1,0,0,SpaceObject,0.08,0.03,0.03,0,0,0,0.0764,0.0939,0.0544
0.9,0,,,,,0.08,0.04,0.04,0,0,0,0.0764,0.0939,0.0544
0.9,0001,SpaceObject_1,0,0,SpaceObject,0.08,0.04,0.04,0,0,0,0.0764,0.0939,0.0544
1.0,0,,,,,0.09,0.05,0.04,0,0,0,0.0764,0.0939,0.0544
1.0,0001,SpaceObject_1,0,0,SpaceObject,0.09,0.05,0.04,0,0,0,0.0764,0.0939,0.0544
1.1,0,,,,,0.10,0.06,0.05,0,0,0,0.0764,0.0939,0.0544
1.1,0001,SpaceObject_1,0,0,SpaceObject,0.10,0.06,0.05,0,0,0,0.0764,0.0939,0.0544
